Date,Akagera STD,OLD MUTUAL,Virunga Lodge HP POC,BK HQ,BK HP II,Mille Collines,Akagera HP,Starbucks,Question Coffee,Hotel Talent Pool,Old Mutual,Kiss FM,Royal FM,AVIPRO,Prime Insurance,Kivu Noir Cafe,Jibu,WiredIn,Alliance for Healthy Communities,AmaliTech,Tropical Plaza,Hill View Hotel,Caferwa - Kivu Noir KSEZ
20-Apr,12,4.3,4,0,0,0,7.8,5.9,13,167,4.8,5.8,3.8,0,1,43,0.5,0.1,0.6,0,0,,
21-Apr,15,5.8,5.3,6.1,0.1,0,38,7.3,20,127,5.8,20,38,0,2.9,68,0.4,0.1,19,1.4,0,,
22-Apr,13,88,5,52,54,0,78,47,39,90,88,28,44,51,62,63,33,34,29,0.9,0,,
23-Apr,8.8,108,12,48,67,0,81,43,40,62,108,47,48,33,34,50,22,25,34.6,89,0,,
24-Apr,15,91,3.1,24,22,0,75,41,35,99,91,36,55,32,65,51,47,37,19,0,0,,
25-Apr,13,99,4.5,0,0,0,47,47,53,75,99,34,60,31,34,94,9.5,25,8.3,0,0,,
26-Apr,10,14,15,0,0,0,28,14,25,88,14,13,14,9.2,2.6,63,2.6,0.4,1.9,0,0,,
27-Apr,14,4.9,4,0,0,0,19,11,32,106,4.9,7.3,2.4,5.6,3.4,59,0.9,0.4,0.6,0,0,,
28-Apr,17,72,6.3,0,0,0,103,48,35,82,72,39,69,43,54,100,39,21,26,0,0,,
29-Apr,12,96,5,0,0,0,91,41,66,64,96,30,44,40,39,47,24,45,30,0,0,,
30-Apr,30,100,2,0,0,0,86,37,44,92,100,33,52,38,33,77,43,28,17,0,0,,
1-May,11,11,12,0,0,0,27,13,24,71,11,20,62,4.4,3.1,2.6,1.5,0.1,4,0,0,,
2-May,14,13,5,0,0,0,34,10,23,99,13,26,59,0.7,8.4,68,4.4,0.1,7.7,0,0,,
3-May,7.5,0.9,7.8,0,0,0,35,18,55,90,0.9,5.1,39,7.6,10,88,2.7,0,2.7,0,30,,
4-May,0,1.6,8.9,0,0,0,30,9.4,19,84,1.6,4.2,4.4,0.6,5.5,77,3.7,0,3.5,0,54,,
5-May,9.7,82,6.9,0,0,0,126,63,28,75,82,35,51,41,59,84,56,37,27,0,74,,
6-May,17,74,10,0,0,0,76,39,74,106,74,35,48,49,46,85,36,46,20,0,60,,
7-May,14,85,18,0,0,0,75,46,38,112,85,27,60,44,41,76,41,23,32,0,47,,
8-May,8,81,7.3,0.1,0.5,0,70,34,35,63,81,22,59,55,42,79,44,91,32,0,48,,
9-May,21,61,1.2,0,0,0,90,25,25,76,61,35,66,39,42,96,28,83,17,0,54,,
10-May,15,3.6,1.5,0,0,0,21,21,11,48,3.6,4.1,13,8.6,0,80,0.7,0.3,4.6,0,45,,
11-May,20,9.8,4.3,0,0,0,18,19,13,97,9.8,4.5,9.2,12,0,87,0.1,1,3.9,0,47,,
12-May,17,83,9.5,0,0,0,90,32,37,86,83,32,72,39,0,101,61,38,21,0,43.7,0,7.1
13-May,22,65,4.1,0,0,0,85,59,50,81,65,41,80,52,0,117,26,32,33,0,50.2,0,0
14-May,34,77,5.5,0.1,0.3,0,69,28,32,29.1,77,31,76,47,0,124,31,57,28,0,52,0,0
15-May,22,76,6.3,0,0,0,77,38,44,9.7,76,26,67,37,0,106,24,39,39,0,43,0,0
16-May,19,63,9.5,0,0,0.1,72,24,22,8.7,63,31,73,60,0,62,26,0,17,21,53,0,0
17-May,18,7,6.1,0,0,0,32,11,20,9,7,8.1,29,8.1,0,75,0.4,0,5.8,6.7,40,0,0
18-May,17,5,4.8,0,0,0,33,13,15,8.9,5,3.7,4.4,10,0,44,1.6,0,3.7,1.3,43,0,0
19-May,24,86,7.3,0.1,0.1,0,71,28,37,8.4,86,34,60,60,0,70,30,0.1,20,67,53,0,0
20-May,16,148,8.7,0,0,0,59,28,42,1.4,148,33,18,35,0,68,38,0.1,30,112,44,26,0
21-May,21,150,2.9,0,0,0,71,51,46,7.1,150,27,43,32,0,120,30,0.1,26,72,44,71,0
22-May,18,153,2.3,0,0.3,0,70,31,57,0.1,153,29,55,58,0,99,30,0.1,32,1.8,51,51,0.7
23-May,10,127,3.2,0,0,0,90,24,61,0.1,127,41,68,37,0,103,25,0.3,25,4.3,41.6,45,0.8
24-May,22,8.2,2.2,0,0,0,54,14,17,5.3,8.2,6.1,61,5.6,0,21.9,0,0,2.2,0.1,40,56,0
25-May,17,19,2.6,0,0,0,43,8,10,6.8,19,4.6,17,5.1,0,13,0.5,0,10,0.1,28,34,0
26-May,35,123,2.8,0,0,0,77,43,53,7.4,123,44,52,42,0,13,58,0.1,29,113,48,30,0.1
27-May,32,132,2.2,0,0,0.2,86,48,34,4.8,132,25,54,41,6.3,9.5,27,9.5,23,29,60,33,0.5
28-May,22,139,2.8,0,0,0,88,43,43,9.1,139,26,72,59,141,10,30,52,32,26,47,56,2.9
29-May,14,135,3.6,0,0,0,74,46,41,5.2,135,32,46,45,0,5.9,26,3.7,50,6.9,39,43,0.8
30-May,15,137,2.3,0.1,0,0,64,25,47,9,137,37,76,41,0,110,42,22,27,36,23,78.4,4.1
31-May,17,12,1.1,0,0,0,49,14,15,7.6,12,6.7,16,7.8,0,49,1,0.2,6.9,0.1,25,37,1.3
1-Jun,13,26,1.3,0,0,0,33,10,14,9,26,7.3,34,4.6,0,62,2,0.2,23,0,26,52,0.7
2-Jun,21,147,2.4,0,0,0,108,35,39,8.4,147,35,54.6,46,0,65,61,48,22,0,59,70,12
3-Jun,12,173.3,1.7,0.2,0,0,124,41,48,9.5,173.3,38,44.2,38,0,70,30,31,11,140,46,57,32
4-Jun,36,154.8,1.5,0,0,0,64,50,29,9,154.8,36,42,48,0,83,39,22,22,71,36,71,25
5-Jun,9.8,156,1.2,0.3,0.6,0,94,20,35,11,156,36,80,65,0,63,49,0.1,17,77,43,49,19
6-Jun,16.7,18,2.2,0,0,0,54,7.2,15,6.1,18,22,43,4,0,91,4.5,0,7.4,1.6,57,54,0.8
7-Jun,3.1,21,1.1,0,0,0,29,11,23,0,21,4.5,31,6.4,0,76,0.7,0,5.8,1.2,60,57,0.7
8-Jun,3.4,33,1.1,0,0,0,53,6,12,0,33,7.5,15,14,0,54,1,0,6.6,2.1,50,97,0.3
9-Jun,7,137,1.4,0,0,0,70,48,47,0,137,40,109,53,0,84,36,0,30,48,57,99,36
10-Jun,5,165,25,0.2,0,0,64,37,35,0,165,30,55,40,0,89,37,0,18,68,84,66,41
11-Jun,8.7,173,79,0.1,0,0,77,27,29,0,173,44,53,31,0,108,40,0,22,36,58,67,32
12-Jun,15,238,87,0.2,0,0,68,52,27,0,238,39,87,44,0,115,31,0,28,33,48,69,36
13-Jun,11,146,93,0,0,0,70,29,47,0,146,40,52,42,0,86,28,0.7,18,31,43,76,26
14-Jun,8.4,21,64,0,0,0,27,8.9,15,0,21,8,25,9.2,0,83,0.5,0,7.6,2.6,44,60,2.5
15-Jun,4.6,21,55,0,0,0,23,7.1,9.8,0,21,3.4,15,5,0,54,0.3,0,8.4,0.8,34,60,0.6
16-Jun,18,126,55,0.5,0.8,0,126,30,51,0,126,30,53,55,0,76,44,0,24,35,22,59,39
17-Jun,16,130,74,2.3,5.4,0,103,35,48,0,130,24,46,48,0,80,24,0,24,53,21,51,27
18-Jun,18,173,68,76,77,0,104,25,36,0,173,35,40,42,0,91,28,0,17,64,27,49,19
19-Jun,21,220,75,107,135,0,86,34,36,0,220,26,47,43,0,65,31,0.1,25,41,21,60,34
20-Jun,18,181,68,90,91,0,65,39,32,0,181,36,37,37,0,135,23,0,10,79,36,44,33
21-Jun,11,61,43,0,0,0,25,12,20,0,61,7.5,43,8.1,0,70,1.1,0,5.9,1.8,20,47,5.2
22-Jun,12,11,0,0,0,0,32,8.3,28,0,11,9.6,14,3.3,0,67,3.1,0,4.4,0,27,47,4.2
23-Jun,15,161,39,0,0,0,78,46,25,0,161,46,65,63,0,92,44,0,17,60,27,37,31
24-Jun,15,170,80,56,50,0,89,47,71,0,170,39,54,33,0,107,40,0,23,35,29,37,39
25-Jun,18,166,83,97,82,0,64,30,78,0,166,34,43,44,0,87,25,0,18,27,30,37,29
26-Jun,23,147,88,142,104,0,96,28,26,0,147,32,68,33,0,115,19,0,23,36,40,39,23
27-Jun,19,128,118,190,0,0,62,46,26,0,128,45,64,38,0,89,43,0,10,37,51,64,31
28-Jun,15,24,119,17,0,0,18,6.6,27,0,24,4.7,73,6.8,0,63,7.4,0,4,3.2,49,36,4.3
29-Jun,17,9.4,125,5.6,0,0,40,5.8,12,0,9.4,6.2,9.8,10,0,62,1.2,0,5.3,0.1,34,38,0
30-Jun,36,159,70,188,29,0,18,63,30,0,159,25,55,64,0,84,23,0,25,51,48,38,37
1-Jul,21,25,58,1.6,9.1,0,18,14,26,0,25,24,44,7.3,0,41,1.4,0,3.7,0.1,39,41,1
2-Jul,8.7,49,62,2.4,4.3,0,27,16,22,0,49,28,37,10,0,56,1.7,0,5.3,0.1,37,34,7.1
3-Jul,2,31,94,7.4,8.6,0,30,7.8,25,0,31,46,37,4,0,39,6.6,0,6.6,0.1,30,44.7,19
4-Jul,0,26,75,5.7,6.6,0,47,12,19,0,26,20,0,5,0,53,2.3,0,3.7,0.1,50,37.8,3
5-Jul,0,20,79,5.2,9.2,0,18,3.3,20,0,20,4.1,30,8.2,0,36,0.4,0,5.6,0.1,42,45,3
6-Jul,14,4.7,74,5.4,6.6,0,8.1,5.9,6.9,0,4.7,3.1,16,7.3,0,24,0.5,0,3.5,0.1,41,49,1.1
7-Jul,2.1,151,69,123,138,0,80,18,49,0,151,35,29,62,0,41,43,0,39,34,51,39,32
8-Jul,12,175,175,124,118,0,103,17,23,0,175,33,0,57,0,61,36,0,28,58,45,40,24
9-Jul,18,168,168,101,105,0,85,25,38,0,168,42,0,42,0,47,39,0,29,44,43,44,43
10-Jul,15,182,182,100,107,0,82,19,38,0,182,38,0,58,0,48,17,0,36,38,34,40,41
11-Jul,16,137,137,144,133,0,60,34,19,0,137,32,0,37,0,51,26,0,29,66,32,36,38
12-Jul,22,21,21,3.4,13,0,28,4,22,0,21,8.7,0,7.3,0,42,0.2,0,9.2,0.1,58,42,0.9
